帕莎蒂娜驳二仓库餐厅 & 帕莎蒂娜烘焙坊,地址:高雄市盐埕区大勇路1号 ,5311106
阿杜皇家泰式料理,地址:高雄市苓雅区和平一路218号12楼 ,2239762
金温州馄饨大王,地址:盐埕区新乐街163巷1号 ,5511378
火鸡肉饭,地址:台湾省高雄市七贤一路533,
老虎堂,地址:800台湾高雄市新興區新田路187號,
團團圓圓,地址:高雄市自強三路162號,
瑞旸行乌鱼子专卖店,地址:复横一路322号 ,2217306
鮨彩,地址:806台灣高雄市前鎮區三多三路217號14F,
段純貞牛肉麵,地址:前鎮區中華五路789號 （夢時代7F） ,7-8123877
水交社眷村面馆,地址:806台湾高雄市前鎮區光華二路359號 ,+886-73330669
鸭肉本,地址:803台湾高雄市鹽埕區富野路107號,
中堂烧肉,地址:高雄市左营区富民路426号 ,5565886
卡啡那,地址:802台湾高雄市苓雅區五福一路67號西苑,
BRUNCH &,地址:青年一路6-6號,
神諭咖啡,地址:新興區大同一路103號,
半九十茶室,地址:新兴区中正四路71号 ,2815195
高庐专厨餐厅,地址:高雄市新兴区中正四路53号 ,2412068
方家水饺,地址:新兴区六合二路25号前,
狮甲绿豆汤,地址:前镇区中山二路42号 ,3390103
甘家冷冻芋,地址:苓雅区自强三路113号1楼 ,3318793
乔品卖炒饭,地址:苓雅区新光路132号 ,3336720
永和小笼汤包,地址:盐埕区盐埕街33号 ,5213852
九日串烧,地址:鼓山区滨海一路72号 ,07-531-5718
迷客夏 milk shop,地址:國治路17號 ,7220522
高雄苓雅油煎肉圆,地址:苓雅区文武三街55号 ,+886-7-3394226
汉伯面线羹,地址:三民区辽宁二街,
林皇宫 橱窗港点,地址:鼓山区博爱二路99号2樓 ,+886-7-5525555
东山鸭头,地址:苓雅区自强三路139号外,
罗师傅面食馆,地址:鼓山区滨海一路25号 ,5311642
树.go eat,地址:台湾高雄市盐埕区七贤二路455号之1,
钟庵日本料理,地址:盐埕区五福四路65号 ,5215488
回春堂,地址:804台湾高雄市鼓山區濱海一路90-92號,
次郎本格日本料理,地址:高雄市 新兴区中正四路64号,
宏佳宝胡椒饼起士薯饼,地址:新兴区中山一路六合夜市内 ,+886-0920761701
礼敬大厅滴水坊,地址:高雄市大树区统岭路一号 (佛陀纪念馆 礼敬大厅内) ,656-1921#4018
乐乐庵之合掌日式居酒屋,地址:新兴区民享街105号 ,2820299
奈良小鹿冰淇淋专门店,地址:高雄市盐埕区七贤三路101号 ,5213838
弄堂麻辣小火鍋,地址:802台湾高雄市苓雅區林泉街15號 ,+886-77212398
九鼎蒸霸蒸鮮料理,地址:台湾高雄市鳳山區文衡路596號,
原烧,地址:苓雅区中山二路410号 ,3322058
阿汤哥手工米麻糬,地址:中西区中正路178号 ,222751
ONE ONE CAFE,地址:高雄市前镇区成功二路11号 ,53637
鲜茶道,地址:高雄市鼓山区临海二路47号 ,5336018
火星糖MarsCandy,地址:鸟松区大华里球场路63号 ,+886-3702775
Mister Donut,地址:前镇区中华五路789号B1,
湖東牛肉館,"地址:中山路一段107號 湖內區, 高雄市 829 Taiwan ",6930466
Revel Coffee Studio,地址:高雄市前鎮區林森三路83巷31號1樓 ,+886-7-3386276
猫先生咖啡,地址:鼓山區蓬萊路23號 ,075612258
汾阳馄饨店,地址:左营区左营大路86号 ,5851858
佛光山 传灯楼滴水坊,地址:佛光山,
always a+,地址:前金区新田路217号 ,2158713
大户屋,地址:高雄市左营区博爱二路777号4楼,
瓦城泰国料理,地址:苓雅区三多四路21号12楼 ,9630262
海湾手工拉面,地址:鼓山区鼓元街136号 ,+886-7-5217922
毛伊夏威夷咖啡餐厅,地址:左营区博爱二路316号1楼 ,5577100
大肠包小肠.鸡翅包饭,地址:六合夜市内,
阿容木瓜牛奶,地址:左营区南屏路、裕诚路口瑞丰夜市(第二排最后）,
古典玫瑰园,"地址:中国,高雄市,市鼓山区哨船街7号,",
东风新意蔬食餐厅,地址:高雄市鼓山区美术馆路123号,
帕莎蒂娜法式餐厅,地址:三民区河堤路298号,
永康牛肉面,地址:楠梓区楠梓路15号 ,3550828
瓦城泰国料理,地址:前金区五福三路57号B2楼 ,2162368
姜東虎白丁韓國正宗傳統烤肉,地址:文濱路131號,
星巴克,地址:左营区博爱三路82号 ,3504261
霞烧肉饭,地址:新兴区复兴一路70号 ,+886-2863626
Trattoria Venti,地址:鼓山區青海路277號 ,075500150
所长茶叶蛋,地址:840台湾高雄市大樹區統嶺路1號 ,+886-7-6562623
鱔鱼意面,地址:新兴区六合二路46号前 ,2860010
北港春卷,地址:六合夜市,
鰻魚飯,地址:新田路97號 ,7-216
Bonnie Sugar,地址:高雄驳二艺术特区大义仓库C7-4号,
简司傅牛排馆,地址:高雄市凤山区文龙13号,
龙袍汤包,地址:苓雅区新田路375号 ,2510562
SOTO日本家庭料理,地址:三民区澄清路436号 ,7776161
李家圆仔汤,地址:盐埕区五福四路234号 ,5211418
家福小馆,地址:左营区自由四路21号,
螺肉嫂,地址:苓雅区正义路273号,
八坂丼屋,地址:大樹區學城路一段12號4樓 ,6569668
海鱼翅火锅,地址:茄萣区滨海路二段108号 ,6908116
老先觉麻辣窑烧锅,地址:凤山区五甲二路230号 ,07-711-1600
奇美泰国虾,地址:高雄六合夜市,
漢來大飯店福園台菜海鮮,"地址:成功一路266號9樓 Cianjin District, 高雄市 801 Taiwan ",+886 7 2135739
罗斯朵晴天现烘咖啡,地址:新江里中山一路,
美浓客家菜,地址:高雄市左营区华夏路1062号 ,3431100
Double Veggie蔬食百汇,"地址:中国,高雄市,新兴区中山一路280号2楼,800 ",+886-7-9733586
木盆轻食馆,地址:苓雅区青年一路8-4号 ,2226357
阿嬷的甘蔗冰茶,地址:旗津区中洲二路,
王家甜汤之家,地址:高雄市盐埕区新乐街213-6号,
澎湖陈冰店,地址:三民区三民街122号 ,2211780
星巴克,地址:苓雅区成功一路221号 ,3304369
拿督肉骨茶,地址:苓雅區光華二路372號,
朝月冷面王韩式料理,地址:鼓山区滨海一路57号 ,5318669
好饗厨房,地址:桃園市大園區航站南路15號,
街头咖啡自强苓雅店,地址:苓雅区自强三路152号 ,+886-7-2691867
河边海鲜餐厅,地址:前金区市中一路276号 ,2612168
帕莎蒂娜烘焙坊,地址:高雄市鼓山区青海路167号 ,5530889
日光徐徐,地址:高雄市新兴区七贤一路245号 ,2368585
Capricciosa,地址:前镇区三多三路217号14楼 ,3358788
万二小吃,地址:高雄市旗津区中洲二路179-2号,
金鑛咖啡,地址:三民区博爱一路336号 ,3225886
爱上乾面,地址:盐埕区五福四路22号 ,5331233
50岚,地址:高雄市旗津區廟前路112號,
义式屋古拉爵,地址:左营区高铁路123号8楼 ,3591936
胜博殿日式炸猪排,地址:高雄市前镇区中华五路789号7F ,9631238
方师傅点心坊,地址:苓雅区三多四路21号B1 ,5360681
三民市場,"地址:Sanmin District, 高雄市 807 Taiwan",
打狗霸博愛店Takao1972 Boai,地址:807台湾高雄市三民區博愛一路338號 ,+886-7-3235110
阿好咸粥,地址:前金区自立一路25号 ,2855989
天仁喫茶趣,地址:高雄市苓雅区三多四路21号12楼 ,3383528
那个年代杏仁豆腐冰,地址:新兴区新田路127号 ,2610468
20年老店烤小卷,地址:庙前路11号 ,5717477
woosa,地址:802台湾高雄市苓雅區三多四路21號,
方师傅点心坊,地址:左营区博爱二路777号B1,
阿草伯烤大虾,地址:瑞丰夜市内,
阿丹牛肉面,地址:新興區民主路38號,
浓厚铺青草茶,地址:新兴区民主横路16号 ,2881888
老螃蟹,地址:苓雅区四维四路67号 ,3321989
願景軒餐廳,"地址:同盟三路726號 Sanmin District, 高雄市 807 Taiwan ",+886 7 3221888
五福台菜海产鹅肉,地址:新兴区五福一路87号 ,2262203
50岚,地址:高雄市新興區自立一路43號,
鲜记螃蟹海产粥八德林森店,地址:800台湾高雄市新興區林森一路259號 ,+886-7-2363038
君鸿,地址:高雄自强3路1号 ,5561160
高月传说泰式月亮虾饼,地址:高雄市左营区南屏路、裕诚路口瑞丰夜市内第二排 ,0952780988
醉便宜,地址:三民区延吉街25号 ,3866261
海底捞,地址:813台湾高雄市左營區博愛二路767號 ,+886-7-5597505
仁武烤鸭,地址:凤仁路95-21号 ,3719315
辣匠麻辣烫,地址:苓雅区自强三路12号 ,2695156
迷客夏 Milk shop,地址:高雄市苓雅区自强三路47号 ,2692128
渝香园,地址:一心一路与凯旋路交口 ,7227971
高雄翰品酒店港都茶樓,"地址:大仁路43號3樓 Yancheng District, Kaohsiung, 高雄市 803 Taiwan",
黑桥牌,地址:前镇区三多三路211号 ,3380717
夏牧日出,地址:807台湾高雄市三民區察哈爾二街3號 ,+886-7-3221660
打狗霸,地址:803台湾高雄市鹽埕區大義街1號,
momo paradise,地址:新兴区五福二路262号(大统百货二楼) ,07-216-7188
台湾铁路管理局高雄餐厅,地址:三民区建国二路318号 ,2358765
星巴克,地址:前镇区成功二路2号B1梦时代购物广场 ,78233009
品深海魚汤,地址:台湾高雄市苓雅区光华二路438号 ,+886 9 38389776
赖桑寿司屋,地址:鼓山区马卡道路351号 ,07-5500000
蓝屋,地址:左营区高铁路123号9楼 ,3416929
春水堂人文茶馆,地址:台湾省高雄市前鎮區中山四路100號,
香酥鸡-鸡排-臭豆腐-臭薯条,地址:六合夜市内,
聪明鸭肉店,地址:新兴区复横一路271号 ,2016334
火焰烧骰子原肉牛,地址:高雄市六合夜市,
MOS Burger,地址:左营区高铁路105号,
来来碳烤海鲜餐厅,地址:苓雅区自强三路68-2号 ,3382588
La One - Thomas Chien,地址:高雄市三民區博愛一路380號,
橋頭太成肉包陳家第三代,地址:高雄市桥头区糖厂路24号 ,6113691
花拾间咖啡厨房,地址:高雄市新兴区七贤一路297号 ,2350818
钮西兰牛排馆,地址:新兴区六合二路26号 ,2860096
和级棺材板,地址:新興區六合二路57號,
Donutes 多那之 蛋糕咖啡烘焙,地址:前镇区一心二路206号 ,5378788
元定食,地址:高雄市前镇区中华五路789号7楼,
康煲牛肉面,地址:四维三路96号,
海光俱乐部中餐厅,地址:左营区南大路4号 ,5821516
蚵仔煎·麻辣鱼蛋,地址:六合夜市商圈,
海味活海产,地址:新兴区民生一路214号 ,2823131
云起时艺术空间,地址:阿莲区岗山村1号 ,6331187
丸龟制面,地址:高雄市左营区高铁路123号 B2 美食街 ,3469999
刘家酸白菜火锅,地址:高雄市左营区介寿路9号 813 ,+886-7-5816633
不二家,地址:813台湾高雄市左營區新榮街133號,
金鑛咖啡,地址:前金区自立二路107号 ,2867799
周家盐酥鸡,地址:新興區民主路36號,
户井北海道米比萨,地址:前镇区新光路61号2楼 ,07-537-2683
鸟窝窝私房菜,地址:左营区高铁路123号9楼,
六合蚵仔煎,地址:中山一路六合夜市,
普普的风,地址:林森一路230号 ,2383768
阿丽黑轮,地址:鼓山区哨船街29号 ,5310079
多一点咖啡,地址:鼓山区美术馆路85号 ,+886-7-5539098
嘻游记,地址:高雄市新兴区自立2路103号 ,2862722
翰林茶馆,地址:前镇区中华五路789号7楼 ,9700389
厨阁牛排,地址:瑞丰夜市第一排最后一铺,
開丼-左營彩虹市集店,地址:台湾高雄市左营区高鐵路15號,
争鲜回转寿司,地址:高雄市前镇区中华五路789号B1 ,8232787
米塔黑糖,地址:苓雅區中山二路339號,
高铁便当,地址:高雄,
混蛋爆虾,地址:高雄市鼓山区裕诚路1128号(瑞丰夜市内),
下一锅水煎包,地址:盐埕区大礼街24号 ,2231421
翰林茶馆,地址:高雄市大树区学城路一段12号4F ,6568358
米格泡芙专卖店,地址:左营区胜利路124号 ,5817091
大宅门干锅鸭头,地址:左营区自由二路338号 ,5564078
大海龙乌鱼子,地址:旗津风景区,
右京栈,地址:高雄市前金区五福三路25号 ,2015588
海東洋麻辣火鍋,地址:高雄市新興區中山横路40號,
咸酥杏鲍菇,地址:苓雅区,
阿莲越南河粉,地址:苓雅区自强三路105号 ,3337403
corner cone,地址:802台湾高雄市苓雅區尚義街15號,
八方云集锅贴水饺专门店,地址:高雄市盐埕区大仁路155号 ,5312353
星亚餐厅,地址:高雄市大树区学城路一段153号义大皇冠假日饭店内 ,+886-7-6568166
麻辣状元,地址:新兴区七贤二路100号 ,2857777
京屋拉面,地址:前金区中正四路165号 ,2918633
深海鱼汤,地址:高雄市六合二路174号 ,2811618
小林煎饼,地址:三民区十全一路467号 ,3221983
集客人间茶馆,地址:高雄市前鎮區三多三路227號1樓 ,+886-7-3327518
满味香美食,地址:苓雅区三多四路81号 ,2695377
小新鲷鱼烧,地址:苓雅区三多四路21号11楼 ,9725038
丹路牛排,地址:苓雅区自强三路116号 ,3391948
Lab 146,地址:前金区中正四路146号,
垦丁大街烤玉米,地址:肯定大街,
火魂德国猪脚,地址:高雄市左营区南屏路、裕诚路口瑞丰夜市内第二排第八格 ,0972007413
邓家粉圆冰,地址:三民区立德街1巷2号 ,2862862
Café del SOL,地址:高雄市左營區博愛二路777號8樓,
桦达奶茶,地址:806台湾高雄市前鎮區中華五路789號,
帝王食补姜母鸭,地址:高雄市鼓山区博爱一路463号 ,5502718
陈记肉干,地址:中山一路六合夜市内 ,02-879763
不识红豆饼,地址:鹽埕區大勇路3號 駁二藝術特區 ,+886-5867117
江海豆浆,地址:苓雅區成功一路195號,
高雄牛总牛肉汤,地址:前金区自强一路59-1号 ,2811893
成家鸭肉面,地址:三民区澄清路719号 ,3815672
北风,地址:左营区高鐵路115號,
Mister Donut,地址:前镇区中山二路268号B1,
和逸飯店,地址:806台湾高雄市前鎮區中山二路260號,
薄多义,地址:苓雅区文横二路105号 ,3353353
eagle coffee &art,地址:高雄市鼓山區南屏路599號,
欧陆厨房,地址:三民区博爱一路380号 ,07-322-8864
北方拉面之家,地址:左营区富国路420号 ,5589246
凯恩斯岩烧,地址:左营区新荣街155号 ,07-555-7798
這一鍋,地址:806台湾高雄市前鎮區中華五路789號,
老店面,地址:六合夜市六合二路,
陶板屋,地址:左营区裕诚路475号 ,+886-5509983
佐佐义义大利面食馆,地址:左营区裕诚路470号 ,5509879
永心凤茶,地址:高雄市三民區同盟三路590號,
Qubit coffee,地址:鼓山区美术馆路175号 ,+886-7-5559477
刘家酸菜白肉锅,"地址:中国,高雄市,左营区介寿路227号,",
THOMAS CHIEN RESTAURANT,地址:前镇区成功二路11号 ,5363715
TINO’S PIZZA,地址:高雄市中山四路100号大鲁阁草衙道1楼 ,7933520
叁和院 台湾风格饮食,地址:大树区学城路一段12号A区5F,
恶魔鸡排,地址:台湾高雄市左營區裕誠路,
吉美蛋糕,地址:旗山区中山路62号 ,6615206
老庄豆浆,地址:苓雅区四维二路187号 ,7153881
好记麻辣火锅,地址:前金区中华四路286号 ,2826386
阿英排骨饭,地址:盐埕区富野路79-2号 ,5555045
小红面店,地址:804台湾高雄市鼓山區蓬萊路17號棧貳庫,
翰林茶馆,地址:高雄市前鎮區新光路No. 61 1F,
就爱馅创意面食馆,地址:高雄市新兴区复横一路262号 ,2615679
Dazzling Cafe Ocean,地址:高雄市前镇区三多三路213号3楼 ,3329090
好夥伴咖啡,地址:807高雄市三民區文安南街170號 ,+886-077778840
唐哥生猛海鮮燒烤,地址:高雄市新興區六合二路43號前 ,7-0913178887
陈记蚵仔煎,地址:新興區六合二路25號,
北京便宜坊燜爐烤鴨,地址:台湾高雄市鼓山區蓬萊路23號,
壹贰楼,地址:鼓山区临海三路14号 ,5321233
糖朝,地址:前金区五福三路57号B2 ,2313636
海贼王 大章鱼小丸子,地址:左营区裕诚路与南屏路(瑞丰夜市第二排117号摊),
顺亿鲔鱼专卖店,地址:前镇区渔港南一路39号2楼 ,8110085
汕头阳春面,地址:新兴区林森一路270号 ,2358517
东港阿青现捞生猛海鲜,地址:六合夜市内,
钰善阁,地址:鼓山区美术北三路225号 ,5227850
南丰鲁肉饭,地址:三民区建工路385号 ,3986398
台南担仔面,地址:台湾高雄义大世界购物中心C区4楼,
瓦城泰国料理,地址:高铁路123号8楼 ,3437667
古早味肉圓大腸麵線,地址:前金區榮安街121號,
新百龄排骨大王,地址:前金区荣安街51号 ,2016511
西堤牛排,地址:中山二路472号2F ,2820712
饺子王将,地址:左營區博愛二路777號4 樓,
盐埕区沙仔地面线粳,地址:盐埕区大礼街20号,
大力果汁,地址:高雄巿盐埕区五福四路295号 ,5327776
华兴烤鸭,地址:小港区飞机路427号 ,8015746
爆浆玉子烧,地址:左营区裕诚路和南屏路段(瑞丰夜市内),
